IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,HTI,Haiti,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,64.25,,,,,,64.2,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.11,,,,,,66.1,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.19,,,,,,66.2,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.71,,,,,,66.7,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.59,,,,,,67.6,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.96,,,,,,69.0,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,69.07,,,,,,69.1,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.4,,,,,,7.4,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,70.93,,,,,,70.9,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,71.97,,,,,,72.0,,,EN,2023-04-20T04:00:00.000Z
